timestamp,corridor_id,hour,day_of_week,is_weekend,is_holiday,is_peak_hour,elevation_slope_deg,lane_isolation_score,turning_conflicts,passenger_density,weather_impact,delay_minutes,delay_lag_15m,delay_lag_30m
2026-08-01 00:30:00,abylai-khan-01,0,5,1,0,0,1.1683757407656417,0.8389910386626392,6,22.422013626375563,snow,12.5,5.97,5.94
2026-08-01 00:30:00,momyshuly-01,0,5,1,0,0,3.5983198842495714,0.8188412263421367,3,20.744027713438456,clear,6.38,7.41,4.96
2026-08-01 00:30:00,tole-bi-01,0,5,1,0,0,2.3127840403167284,0.654158724681983,5,23.825053789147347,rain,9.19,5.37,5.62
2026-08-01 00:45:00,abylai-khan-01,0,5,1,0,0,1.2879397974862827,0.9528419850670694,7,28.525344552244945,clear,7.39,12.5,5.97
2026-08-01 00:45:00,momyshuly-01,0,5,1,0,0,3.6777791935428947,0.9826993473816754,6,15.8184985223075,snow,11.32,6.38,7.41
2026-08-01 00:45:00,tole-bi-01,0,5,1,0,0,2.214695607242642,0.6736941514168123,6,28.22811042786025,clear,10.37,9.19,5.37
2026-08-01 01:00:00,abylai-khan-01,1,5,1,0,0,1.3127241206968032,0.6827531723604268,6,10.0,snow,12.39,7.39,12.5
2026-08-01 01:00:00,momyshuly-01,1,5,1,0,0,3.6467509342252047,0.6855687409230189,2,17.23070911920165,clear,5.28,11.32,6.38
2026-08-01 01:00:00,tole-bi-01,1,5,1,0,0,2.3066030697561213,0.7012862572413207,3,12.615100228908593,clear,4.25,10.37,9.19
2026-08-01 01:15:00,momyshuly-01,1,5,1,0,0,3.5041117399171,0.8383842439764472,4,17.313064521236562,clear,7.5,5.28,11.32
2026-08-01 01:15:00,tole-bi-01,1,5,1,0,0,2.214070753711676,0.7549686118765437,1,11.25339873190933,clear,3.57,4.25,10.37
2026-08-01 01:15:00,abylai-khan-01,1,5,1,0,0,1.2368750784082498,0.9412908701195786,4,23.353575351976712,clear,6.08,12.39,7.39
2026-08-01 01:30:00,tole-bi-01,1,5,1,0,0,2.3878450301307272,0.6270213726930679,4,18.18057079762164,clear,6.38,3.57,4.25
2026-08-01 01:30:00,abylai-khan-01,1,5,1,0,0,1.1950074089013747,0.7891916340688269,2,26.49572876601505,snow,8.43,6.08,12.39
2026-08-01 01:30:00,momyshuly-01,1,5,1,0,0,3.581513763645474,0.636132673211237,2,23.178037440269957,clear,4.91,7.5,5.28
2026-08-01 01:45:00,tole-bi-01,1,5,1,0,0,2.2319070455596055,0.7624856456033761,7,19.066479520506743,clear,6.71,6.38,3.57
2026-08-01 01:45:00,abylai-khan-01,1,5,1,0,0,1.322254133867403,0.7614080569213268,3,33.49140540748208,clear,6.13,8.43,6.08
2026-08-01 01:45:00,momyshuly-01,1,5,1,0,0,3.5845470517931197,0.8593410662838583,6,25.905191330664273,clear,9.02,4.91,7.5
2026-08-01 02:00:00,tole-bi-01,2,5,1,0,0,2.2571672177836892,0.8197815867852404,2,16.673113170046864,clear,4.85,6.71,6.38
2026-08-01 02:00:00,momyshuly-01,2,5,1,0,0,3.653230918555335,0.6065100730661889,1,26.307037548032284,snow,9.72,9.02,4.91
2026-08-01 02:00:00,abylai-khan-01,2,5,1,0,0,1.164786644951177,0.9499019129356344,1,17.02997387238296,rain,5.05,6.13,8.43
2026-08-01 02:15:00,momyshuly-01,2,5,1,0,0,3.6430821003007883,0.7217159313905464,4,27.157702718224563,clear,7.18,9.72,9.02
2026-08-01 02:15:00,tole-bi-01,2,5,1,0,0,2.3365444064364076,0.9095995288378597,2,21.622765587035893,clear,5.6,4.85,6.71
2026-08-01 02:15:00,abylai-khan-01,2,5,1,0,0,1.241273261159599,0.6090633363823367,6,11.03072231732818,clear,5.97,5.05,6.13
